# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -34183.13667738   0.00000017   0.0000
  1  -34183.14609969  -0.00942214  -0.2173
  2  -34183.14187752  -0.00519996  -0.1199
  3  -34183.11989447   0.01678309   0.3870
  4  -34183.08416543   0.05251212   1.2110
  5  -34183.05632232   0.08035524   1.8530
  6  -34183.05926894   0.07740862   1.7851
  7  -34183.04977167   0.08690589   2.0041
  8  -34183.14049157  -0.00381402  -0.0880
  9  -34182.75445128   0.38222628   8.8143
 10  -34182.15611118   0.98056637   22.6124
 11  -34182.56146529   0.57521227   13.2647
 12  -34182.87406334   0.26261421   6.0560
 13  -34182.82975542   0.30692213   7.0778
