# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2292.09071771   0.00000000   0.0000
  1  -2292.12904856  -0.03833085  -0.8839
  2  -2292.07505638   0.01566134   0.3612
  3  -2291.71709106   0.37362665   8.6160
  4  -2289.18401841   2.90669930   67.0299
  5  -2287.61963065   4.47108706   103.1055
  6  -2286.27559567   5.81512205   134.0996
  7  -2284.72564056   7.36507715   169.8424
  8  -2285.93900672   6.15171100   141.8615
  9  -2276.60391754   15.48680017   357.1334
 10  -2283.49141061   8.59930710   198.3043
 11  -2286.76215009   5.32856762   122.8794
 12  -2286.88266246   5.20805525   120.1004
 13  -2290.39775651   1.69296121   39.0405
 14  -2290.98382488   1.10689284   25.5255
 15  -2291.07081029   1.01990742   23.5196
