# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2292.09071771   0.00000000   0.0000
  1  -2292.13907954  -0.04836183  -1.1152
  2  -2292.14516161  -0.05444390  -1.2555
  3  -2292.21735935  -0.12664164  -2.9204
  4  -2292.00333787   0.08737984   2.0150
  5  -2291.98490382   0.10581389   2.4401
  6  -2291.86371993   0.22699778   5.2347
  7  -2291.38850035   0.70221736   16.1935
  8  -2286.68095845   5.40975926   124.7518
  9  -2286.70469363   5.38602408   124.2044
 10  -2290.58219763   1.50852008   34.7872
 11  -2284.60828285   7.48243486   172.5487
 12  -2285.75290115   6.33781656   146.1532
 13  -2290.83344846   1.25726925   28.9933
 14  -2290.99419678   1.09652093   25.2863
 15  -2291.07081029   1.01990742   23.5196
